date,moy,year,profit,bagel_price,donut_price,bagel_cost,donut_cost
"1993-01-01",1,1993,10442.13,.6,.5,.2,.21
"1993-02-01",2,1993,11368.07,.6,.5,.18,.2
"1993-03-01",3,1993,12907.8,.6,.5,.21,.21
"1993-04-01",4,1993,12581.6,.6,.5,.2,.2
"1993-05-01",5,1993,12076.03,.6,.5,.2,.21
"1993-06-01",6,1993,12852.45,.6,.5,.22,.21
"1993-07-01",7,1993,12300.89,.6,.5,.21,.2
"1993-08-01",8,1993,9645.621,.6,.5,.22,.21
"1993-09-01",9,1993,14825.07,.75,.5,.21,.23
"1993-10-01",10,1993,14052.84,.75,.5,.22,.19
"1993-11-01",11,1993,11867.8,.75,.5,.22,.22
"1993-12-01",12,1993,10284.56,.75,.5,.21,.22
"1994-01-01",1,1994,9563.388,.75,.5,.23,.21
"1994-02-01",2,1994,12125.28,.75,.5,.21,.2
"1994-03-01",3,1994,14447.13,.75,.5,.2,.18
"1994-04-01",4,1994,13431.72,.75,.5,.21,.21
"1994-05-01",5,1994,13561.73,.75,.5,.22,.21
"1994-06-01",6,1994,10367.75,.75,.5,.2,.21
"1994-07-01",7,1994,12189.91,.75,.5,.22,.19
"1994-08-01",8,1994,13334.19,.75,.5,.22,.21
"1994-09-01",9,1994,12499.81,.75,.5,.23,.22
"1994-10-01",10,1994,9574.271,.75,.5,.23,.22
"1994-11-01",11,1994,7798.506,.75,.5,.2,.21
"1994-12-01",12,1994,7332.896,.75,.5,.22,.22
"1995-01-01",1,1995,8964.896,.75,.5,.21,.22
"1995-02-01",2,1995,10811.75,.75,.5,.23,.21
"1995-03-01",3,1995,11504.2,.75,.5,.24,.22
"1995-04-01",4,1995,8972.648,.75,.5,.23,.23
"1995-05-01",5,1995,10845.54,.75,.5,.23,.23
"1995-06-01",6,1995,11336.06,.75,.5,.23,.21
"1995-07-01",7,1995,10816.92,.75,.5,.23,.21
"1995-08-01",8,1995,10908.4,.75,.5,.25,.23
"1995-09-01",9,1995,11471.09,.75,.5,.22,.22
"1995-10-01",10,1995,11104.62,.75,.5,.24,.22
"1995-11-01",11,1995,10175.9,.75,.5,.22,.2
"1995-12-01",12,1995,6671.466,.75,.5,.24,.22
"1996-01-01",1,1996,7281.548,.75,.5,.24,.23
"1996-02-01",2,1996,9625.508,.75,.5,.25,.22
"1996-03-01",3,1996,10906.4,.75,.5,.26,.23
"1996-04-01",4,1996,10791.32,.75,.5,.24,.22
"1996-05-01",5,1996,11017.27,.75,.5,.25,.22
"1996-06-01",6,1996,9853.135,.75,.5,.26,.23
"1996-07-01",7,1996,10148.15,.75,.5,.24,.25
"1996-08-01",8,1996,10560.98,.75,.5,.25,.23
"1996-09-01",9,1996,10144.67,.75,.5,.26,.22
"1996-10-01",10,1996,10507.69,.75,.5,.24,.24
"1996-11-01",11,1996,9540.418,.75,.5,.25,.22
"1996-12-01",12,1996,7039.019,.75,.5,.28,.23
"1997-01-01",1,1997,8040.598,.75,.5,.25,.24
"1997-02-01",2,1997,9916.902,.75,.5,.27,.24
"1997-03-01",3,1997,10667.89,.75,.5,.26,.23
"1997-04-01",4,1997,10650.94,.75,.5,.26,.23
"1997-05-01",5,1997,10024.92,.75,.5,.26,.23
"1997-06-01",6,1997,9828.55,.75,.5,.25,.24
"1997-07-01",7,1997,10313.03,.75,.5,.26,.23
"1997-08-01",8,1997,10357.02,.75,.5,.25,.25
"1997-09-01",9,1997,10055.03,.75,.5,.27,.23
"1997-10-01",10,1997,10484.5,.75,.5,.25,.24
"1997-11-01",11,1997,8984.792,.75,.5,.26,.24
"1997-12-01",12,1997,6871.209,.75,.5,.26,.23
"1998-01-01",1,1998,6426.978,.75,.5,.27,.26
"1998-02-01",2,1998,8334.795,.75,.5,.26,.25
"1998-03-01",3,1998,8926.496,.75,.5,.26,.24
"1998-04-01",4,1998,8815.9,.75,.5,.28,.25
"1998-05-01",5,1998,8618.833,.75,.5,.28,.25
"1998-06-01",6,1998,8770.434,.75,.5,.28,.25
"1998-07-01",7,1998,9253.385,.75,.5,.25,.24
"1998-08-01",8,1998,9001.527,.85,.5,.3,.25
"1998-09-01",9,1998,7834.146,.85,.5,.27,.26
"1998-10-01",10,1998,7454.523,.85,.5,.28,.25
"1998-11-01",11,1998,7414.248,.85,.5,.28,.24
"1998-12-01",12,1998,5801.939,.85,.5,.29,.25
"1999-01-01",1,1999,5996.517,.85,.5,.29,.24
"1999-02-01",2,1999,8224.855,.85,.5,.27,.25
"1999-03-01",3,1999,8983.653,.85,.5,.28,.25
"1999-04-01",4,1999,9210.121,.85,.5,.28,.24
