worker_id,occ_code,risk_score,incident,incident_cost
2,2,0.19899427,0,0
8,3,0.72987221,0,0
23,4,-0.42041724,0,0
29,1,-0.83779974,0,0
31,3,0.16418367,1,851
32,4,-0.07885164,0,0
34,1,-2.5631217,0,0
35,2,-0.7937929,0,0
39,1,0.72952469,0,0
42,3,-0.50836992,0,0
43,3,1.709798,1,0
45,3,0.72221465,0,0
46,3,-1.1900162,0,0
54,2,1.758891,0,0
60,1,0.25858164,0,0
64,3,1.4193206,0,0
66,2,-0.18627057,0,0
77,1,0.88746663,0,0
81,2,0.20790775,0,0
82,2,1.1755201,0,0
86,1,0.61634731,0,0
88,2,1.7600702,1,0
90,2,0.48374092,0,0
92,2,1.2509828,1,495
94,1,-0.79955607,0,0
98,1,0.29237169,0,0
99,1,0.20547598,0,0
104,4,-0.65241212,0,0
108,1,-1.9021781,0,0
110,4,0.13224969,0,0
112,1,-0.50620667,0,0
116,3,1.3382481,0,0
119,2,1.4968813,1,0
121,2,2.0219285,1,0
122,2,1.6855077,1,916
123,1,-1.2695267,0,0
126,2,1.8969253,1,609
138,2,0.75957471,0,0
140,1,-1.1263901,0,0
150,1,-0.00664593,0,0
151,3,1.3606098,0,0
158,2,0.86892861,1,0
160,3,0.20725296,0,0
170,4,0.76651257,0,0
172,2,1.5617989,1,0
173,1,-1.0804544,0,0
174,4,-0.80779748,0,0
177,2,0.36925119,0,0
180,3,-0.91827378,0,0
183,2,2.0548299,0,0
185,3,0.47549252,0,0
193,1,-1.3151597,0,0
194,3,0.90337582,0,0
197,2,1.6782723,0,0
203,2,0.356555,0,0
204,1,0.26031698,0,0
206,1,-0.64940497,0,0
209,1,0.11692971,0,0
221,1,-0.96052958,0,0
224,4,1.4020442,1,0
228,2,-0.85752325,0,0
232,2,1.4448729,0,0
233,4,0.31587331,0,0
235,4,-0.62594596,0,0
237,2,0.49175555,0,0
238,3,1.4070689,1,30587
247,2,0.86167905,0,0
253,2,1.2886921,0,0
256,3,-0.06940075,0,0
262,3,-0.80981255,0,0
264,1,-0.5198533,0,0
268,1,-0.89158301,0,0
271,1,-0.94650099,0,0
276,1,-1.3071544,0,0
278,2,0.72657591,0,0
279,3,1.2527637,0,0
286,2,0.52269256,0,0
288,1,0.22876971,0,0
290,1,0.76973915,0,0
299,3,1.1898617,1,0
302,1,-0.80444875,0,0
305,3,0.234486,0,0
306,2,-0.40449209,0,0
307,1,0.06058312,0,0
312,2,0.35990038,0,0
315,1,0.15301433,0,0
318,2,-0.74196008,0,0
321,4,0.67573112,0,0
326,2,1.7816567,0,0
329,2,0.91834685,0,0
336,2,1.4724107,0,0
