arm,revenue,prior_revenue
alternative 1,14.04229714016457,9.493261394728638
alternative 2,8.045993445774762,9.869056020580267
alternative 2,8.848398095397895,7.649809670130795
alternative 1,10.299552201814627,4.688811574910314
baseline,5.6682132325233185,9.557872641121829
baseline,9.933074383262706,10.530663731119807
baseline,15.625676165450166,9.813542108227463
alternative 2,12.294516451004384,6.573401193156104
alternative 1,11.303812990549611,7.920827404667967
alternative 2,10.71426249774328,9.173454124792515
baseline,13.098922704742094,5.570070336875002
alternative 2,3.6502840961548815,8.859701908736227
alternative 2,11.905593770715372,9.9568081274225
baseline,13.696612712241734,10.812118022539005
baseline,8.30845500442042,2.5237395375809584
baseline,9.288063297414345,12.583877006773394
baseline,8.823856651998657,9.584960791033293
alternative 1,10.264080762920125,6.454122877250552
alternative 1,10.869707689916453,14.411365370005118
baseline,9.48155994431978,6.112806734503095
alternative 1,8.800196918934079,2.8268476741733934
baseline,11.010709791929848,10.856823132945737
baseline,15.026908881536688,8.918015622300125
alternative 1,10.22545601443941,6.916135692842296
alternative 1,7.930718638424764,4.9244436900134065
alternative 2,9.915631136150294,8.584072539444305
baseline,10.897599298266687,7.629209359002083
alternative 1,9.250036052925276,8.499859833177004
alternative 1,8.005501835101457,9.74108697788909
baseline,10.12156882695103,11.783522117154916
alternative 1,8.638070897610495,8.450343952630991
baseline,9.457577664738322,7.356007649477022
baseline,8.920266719299985,15.593476139219693
alternative 2,7.761963717912399,8.664030998362072
alternative 2,9.337534010190929,8.758485163266801
alternative 2,9.506282073364815,10.337720303663
baseline,4.869474695824617,12.611514417596013
baseline,11.897748398926591,5.771385241810596
alternative 2,3.692768181142796,6.568783561575796
alternative 1,8.272000615718632,17.240875696072326
baseline,11.629770894922821,4.077231052455627
alternative 1,6.931033485297168,9.340362691181051
baseline,10.761050662894291,5.555753419068731
alternative 2,10.095029316068816,7.347082587168378
baseline,6.688724312193051,10.278786940096861
alternative 1,11.321631520328467,12.023123830884858
baseline,11.723159053401629,8.007891400579211
alternative 1,11.143649284390516,10.427163314312864
alternative 1,9.40182564885604,7.664920634894605
baseline,8.509371617975415,9.721660808373661
alternative 2,17.819623400956505,10.40372744027417
alternative 2,8.666434493249142,7.002831665091671
alternative 2,9.024700162031392,16.0318803426472
alternative 2,9.302230062162113,12.220611603830855
alternative 1,7.872215263585931,10.283553623838886
alternative 2,12.875235822026166,7.784291450570228
baseline,8.07666503754169,14.47660908336599
baseline,12.953778684687391,11.872016956072184
baseline,12.361828879368742,10.878726464933196
baseline,16.053327439525194,9.63172490563147
alternative 1,10.731787101602759,5.147261214217963
baseline,7.525117940226277,5.897543000494879
alternative 2,14.322190750548447,1.842379543937751
alternative 1,7.793069931741832,0.5188801920181323
baseline,7.50613631355433,8.0271531508044
alternative 1,13.154613281382133,10.689883817664372
baseline,7.500575430013101,12.697891159195478
alternative 2,10.553496763589273,9.612700576121757
baseline,6.391985476684024,6.529958858290582
alternative 2,8.024708100163426,9.63938381946257
alternative 2,10.733657180942025,14.132277990572135
baseline,11.155165503813503,1.377302918983677
baseline,10.787925963615072,5.1499509314974015
alternative 2,7.6020872261653905,7.06349158482101
alternative 2,8.509985029463095,5.374551823879091
alternative 2,11.110446010356863,5.2675931447271225
alternative 2,11.57000282174954,16.21091323118489
baseline,6.011922823197809,8.646469086982334
alternative 1,1.4296279124625908,8.5971941210896
baseline,11.928151457894451,11.661917694071802
alternative 2,10.732091190852291,12.167790274276928
alternative 1,16.638163607828375,14.636914062312798
baseline,8.43243721177109,5.146688040599784
baseline,8.781545750278589,6.659051703147956
baseline,11.354042643593898,5.956419381711505
baseline,9.781532702228974,12.01404216360893
alternative 2,10.19791238154847,6.661058531756611
alternative 1,12.524442172757075,3.8630571657385184
alternative 2,9.51661483236761,9.375019929855997
alternative 1,9.047725975198894,10.041488168234244
baseline,11.83131945942848,9.393777682863947
alternative 2,9.395825153568957,8.277231966020913
alternative 2,8.665452593884936,11.862629972980596
alternative 1,7.060414561570456,12.040313327024734
alternative 2,10.556997246779613,7.936235579431611
alternative 1,10.855221647232405,7.317638225830645
alternative 1,10.914552122184638,10.138178363575355
alternative 1,7.211025932724238,11.085904446003678
baseline,11.639769177065917,12.972558817429874
baseline,12.898441037227887,10.973822062178849
baseline,6.61722714637371,16.84576096452217
alternative 1,4.789151366784569,12.347789522846927
baseline,11.293851450658895,5.977572882556656
alternative 1,8.627097183364503,9.263741341266078
alternative 2,14.416748147431571,7.360067299159366
baseline,9.214164980726938,2.4917911849362113
alternative 1,14.20428837937073,6.288595270939787
alternative 2,11.480732592717525,9.195776510834408
baseline,9.70599709964998,11.929585954612625
baseline,15.013787380910903,10.254481009825975
baseline,11.965234052891578,10.486674610181122
baseline,13.052594271791879,8.111250861541018
alternative 2,13.726171663249243,12.831499596942152
alternative 2,13.74761102604873,7.519556397990572
alternative 1,8.494987097288428,10.218400966341305
alternative 2,6.387473865512983,14.284760624258045
alternative 2,10.463170399493473,10.351783662814166
baseline,8.268986680818392,5.519367321898931
alternative 2,8.687910343575687,10.157612562900765
alternative 1,11.020286438261081,9.98537462180816
alternative 2,11.54017204872585,8.48892087595587
alternative 2,11.988745698736285,13.94849859915772
baseline,12.11436832731696,11.92862566475882
baseline,10.882049197919892,4.990534791201195
baseline,6.86600040810627,10.86462740199153
alternative 1,8.967182844119742,10.819528659418484
alternative 2,15.529270253532221,11.678107997688002
alternative 2,14.276658617228465,9.78404416841219
baseline,7.578352967546681,9.326401522356978
alternative 1,6.5857445588425865,14.174884870317344
alternative 1,11.37117322960641,11.061537489884838
baseline,13.70782960668431,3.4398307564303234
baseline,11.764413854027978,5.568062647086882
alternative 1,8.978232904603017,8.564877222598357
alternative 2,12.485209836290844,10.184561866882866
