personid,age,female,nprior,treatment,npurchase,total
1,37,1,1,15,0,0
2,33,0,1,0,1,50.86933517
3,25,0,3,30,4,271.3101692
4,35,1,0,50,2,107.4023247
5,28,0,3,30,0,0
6,29,1,1,15,1,69.74234772
7,31,1,3,15,3,192.0652847
8,37,0,1,30,2,122.2060089
9,21,1,1,30,0,0
10,39,0,2,50,0,0
11,36,1,1,0,0,0
12,36,0,1,0,0,0
13,26,1,1,0,3,168.3844604
14,35,1,0,30,0,0
15,42,1,3,50,3,179.3564186
16,34,0,3,50,3,204.7486725
17,34,0,1,15,0,0
18,32,1,0,15,0,0
19,24,1,0,50,1,55.75043106
20,29,1,1,15,1,56.23439407
21,23,0,1,50,3,157.9765015
22,33,1,3,15,0,0
23,35,1,2,15,0,0
24,44,0,1,15,0,0
25,30,1,1,0,0,0
26,35,0,0,50,2,109.6793213
27,24,0,1,30,0,0
28,25,1,3,30,0,0
29,38,1,0,15,0,0
30,36,0,2,15,0,0
31,28,1,0,50,1,62.11251068
32,31,1,0,0,0,0
33,32,1,1,50,0,0
34,38,1,2,0,1,56.23439407
35,33,1,1,30,1,54.12796783
36,27,0,1,15,4,220.9759064
37,26,1,0,15,0,0
38,25,0,3,50,3,156.9819946
39,32,0,2,50,0,0
40,34,1,1,50,2,120.2466393
41,36,0,1,0,0,0
42,26,1,2,15,2,114.5877953
43,34,1,0,50,1,63.21089935
44,37,0,1,50,3,174.451149
45,29,0,0,30,1,68.6866684
46,28,1,0,30,0,0
47,29,1,2,50,0,0
48,26,0,1,30,0,0
49,29,1,2,50,0,0
50,41,0,0,0,2,108.1206436
51,31,0,1,50,0,0
52,32,1,2,50,3,176.0310974
53,29,0,1,50,1,64.41025543
54,37,0,1,0,2,101.955616
55,30,0,0,30,0,0
56,31,1,1,15,0,0
57,24,1,1,15,2,105.3176651
58,30,1,0,0,0,0
59,34,0,3,30,0,0
60,44,1,3,30,2,102.5636673
61,22,1,3,15,4,253.5321579
62,39,1,1,0,1,62.88819122
63,22,1,2,30,0,0
64,25,0,0,15,0,0
65,26,0,3,0,0,0
66,36,1,2,50,0,0
67,30,1,2,0,3,204.592041
68,22,0,2,0,0,0
69,34,1,1,30,0,0
70,30,0,1,30,1,59.33590698
71,32,0,2,30,0,0
72,29,0,3,50,1,57.46400833
73,43,1,3,15,1,64.33527374
74,33,1,1,30,3,173.6552353
75,33,1,1,15,0,0
76,40,1,2,50,0,0
77,33,1,3,15,1,57.36653519
78,26,1,2,0,1,66.15122223
79,34,1,3,30,3,171.8087692
80,28,1,3,0,0,0
81,34,0,3,0,2,125.5931129
82,42,0,3,0,0,0
83,41,1,0,30,1,67.91951752
84,36,0,0,30,0,0
85,36,0,1,50,0,0
86,36,0,2,50,3,194.6447868
87,38,0,1,0,0,0
88,45,1,1,30,1,63.82751465
89,21,1,2,30,2,128.9867401
90,30,0,2,30,0,0
91,33,1,1,50,1,63.43783188
92,30,1,0,15,1,55.24397659
93,37,0,2,15,0,0
94,38,0,1,0,1,67.83628082
