id,treat,takeup,outcome
1,0,0,-.31439631
2,0,0,.48983491
3,0,0,.42439902
4,0,0,.06618069
5,0,0,.2410368
6,0,0,1.0057807
7,0,1,2.2153096
8,0,0,.14247546
9,0,0,-.01394153
10,0,0,-.34113554
11,0,0,-.15795856
12,0,0,-.15394834
13,0,1,1.4487894
14,0,0,.4021604
15,0,0,-.2570225
16,0,0,-.1481853
17,0,0,.31914883
18,0,0,.17011095
19,0,0,-.99637882
20,0,0,.68390843
21,0,0,.3800839
22,0,0,.23877451
23,0,0,.05430013
24,0,0,-.50312112
25,0,0,.12891092
26,0,0,-.89443618
27,0,0,.50639275
28,0,0,.45649941
29,0,0,.27978013
30,0,1,1.6551356
31,0,0,.2948612
32,0,0,.01373065
33,0,0,.30707338
34,0,0,-.89820864
35,0,0,.59363993
36,0,0,-.42562826
37,0,0,.5420168
38,0,1,1.7909568
39,0,0,-.19668622
40,0,0,-.16815996
41,0,0,.07059762
42,0,0,-.85213611
43,0,0,1.1705734
44,0,0,.07943648
45,0,0,-.54803274
46,0,0,-.5814634
47,0,0,-1.4831766
48,0,0,.0746849
49,0,0,-.19151559
50,0,0,.03296049
51,0,1,1.6413358
52,0,0,-.29148012
53,0,0,.00780392
54,0,0,-.53960953
55,0,0,-1.0991587
56,0,0,-.15993674
57,0,0,.7777315
58,0,0,-.444301
59,0,0,-.10627086
60,0,0,-.60024313
61,0,0,.97335497
62,0,0,.26751917
63,0,0,.34694984
64,0,0,-.14937279
65,0,1,1.8322682
66,0,0,-.61636017
67,0,0,.20468491
68,0,0,-1.3281544
69,0,0,.33340532
70,0,0,1.9590695
71,0,1,1.139314
72,0,0,-.49937206
73,0,0,-.27607305
74,0,0,-.20363935
75,0,0,-.06876366
76,0,0,-.29413855
77,0,0,-.05567143
78,0,0,-.73106553
79,0,0,.32215272
80,0,0,.2977445
81,0,0,-.15497566
82,0,0,-.09098745
83,0,0,.22476964
84,0,0,-.34861765
85,0,0,.72928163
86,0,0,-.1122811
87,0,0,-.00373652
88,0,0,1.1263177
89,0,0,.75079546
90,0,1,1.5862842
91,0,0,1.2181261
92,0,0,-.08971038
93,0,0,-.77056458
94,0,0,.78951506
95,0,0,.08079974
96,0,0,.30627542
97,0,0,.72043261
98,0,0,.52716388
99,0,0,.01175581
100,0,0,-1.2149663
101,0,0,-.06213598
102,0,0,.74998277
103,0,0,.21190807
104,0,0,.32063173
105,0,0,-.19471404
106,0,1,1.4082523
107,0,0,-.80896323
108,0,0,.31313533
109,0,0,.58839153
110,0,0,-.71761228
111,0,0,-.09077949
112,0,0,-.48967401
113,0,0,-.28042893
114,0,0,-.37919462
115,0,0,.35410189
116,0,0,.26904197
117,0,0,-.50379229
118,0,0,-.43824916
119,0,1,1.9118483
120,0,0,1.0639799
121,0,0,-.28467633
122,0,0,-.21501841
123,0,0,.29502826
124,0,0,-1.2136735
125,0,0,-.08700658
126,0,0,-.64631582
127,0,0,.40922331
128,0,0,.60871542
129,0,0,.20123351
130,0,0,-.31432781
131,0,0,-.846939
132,0,0,.02088575
133,0,0,-1.0242014
134,0,0,.56227831
135,0,1,1.4816405
136,0,0,.42758314
137,0,1,2.9019691
138,0,0,.22361644
139,0,0,-.05063457
140,0,0,-.30076589
141,0,0,-1.0219395
142,0,0,-.68092663
143,0,0,.36514458
144,0,0,-.43308474
145,0,0,-.64554203
146,0,0,.3022853
147,0,0,-.81850565
148,0,0,-.22864085
149,0,0,-.26353616
150,0,0,-.01869227
151,0,0,.47646943
152,0,0,-.38707207
153,0,0,-.50639264
154,0,0,-.13448018
155,0,0,-.00023653
156,0,0,.07295178
157,0,0,-1.3573022
158,0,0,.44056476
159,0,0,.01006875
160,0,0,.66133878
161,0,0,-.36471593
162,0,0,-.47795269
163,0,0,1.1219522
164,0,0,-.46073377
165,0,0,-.1534921
166,0,0,-.76821074
167,0,0,-.29050385
168,0,0,.41720189
169,0,0,-.4345161
170,0,0,-1.102005
171,0,0,-.29806472
172,0,0,-.90921934
173,0,0,-.12823762
174,0,0,-.06627589
175,0,0,-.67182101
176,0,0,.62592331
177,0,0,-.22277866
178,0,0,.30351459
179,0,0,.89593824
180,0,0,.27255094
181,0,0,.45409074
182,0,0,-1.545986
183,0,0,.34866561
184,0,0,-.01264584
185,0,0,-.20304181
186,0,0,.14986596
187,0,0,.48279451
188,0,0,-.21649563
189,0,0,.65559991
190,0,0,-.24475087
191,0,0,-.7927575
192,0,0,.27786623
193,0,1,1.4223832
194,0,0,-.72609781
195,0,0,-.25975993
196,0,0,-.58839566
197,0,0,-1.310623
198,0,0,.84797527
199,0,0,-.74617647
200,0,0,.16891614
201,0,0,1.002818
202,0,0,.17787038
203,0,0,.03856845
204,0,0,-.55307207
205,0,0,-.58262997
206,0,0,.7447464
207,0,0,-.4533883
208,0,0,.05019825
209,0,0,-.43871954
210,0,0,.06934158
211,0,0,.54612849
212,0,0,-.07047095
213,0,0,.05356932
214,0,0,-.48906796
215,0,0,-.90174774
216,0,0,-.20530739
217,0,0,-.23250651
218,0,0,.67408624
219,0,0,.77509787
220,0,0,-.68363822
221,0,0,-.31806357
222,0,0,.9248571
223,0,0,.01290805
224,0,0,-.29276528
225,0,0,.24119941
226,0,0,-.5163227
227,0,1,.83903453
228,0,0,.29000237
229,0,0,-.54873137
230,0,0,.26587988
231,0,0,-.05669829
232,0,0,-.35661297
233,0,0,-.04421811
234,0,0,.57143013
235,0,0,.4229113
236,0,0,-.22435212
237,0,0,-.27822031
238,0,0,-.44262203
239,0,0,-.09301909
240,0,0,-.14456374
241,0,0,-.59278774
242,0,0,-.22731604
243,0,1,1.8420754
